"N","Bubble","Selection","Insertion","Merge","Quick"
"52600","3.755056","0.834935","0.555278","0.004183","0.003604"
"53100","3.795800","0.833547","0.552175","0.004084","0.003474"
"53600","3.842682","0.861763","0.568052","0.004141","0.003653"
"54100","3.973715","0.885207","0.584795","0.004235","0.003574"
"54600","4.087684","0.931041","0.623538","0.004742","0.003888"
"55100","4.160692","0.920807","0.610399","0.004428","0.003776"
"55600","4.272635","0.941158","0.618545","0.004354","0.003687"
"56100","4.296325","0.938966","0.620303","0.004305","0.003993"
"56600","4.379454","0.963734","0.650192","0.004482","0.003843"
"57100","5.673213","0.987789","0.653456","0.004357","0.003740"
"57600","4.611255","1.001640","0.670509","0.004578","0.003837"
"58100","4.671609","1.020422","0.677743","0.004550","0.003851"
"58600","4.687732","1.013453","0.679778","0.004496","0.004193"
"59100","4.756214","1.058340","0.699546","0.005265","0.004205"
"59600","4.887709","1.067675","0.714017","0.004713","0.004005"
"60100","5.013273","1.113548","0.732226","0.004906","0.004141"
"60600","5.094871","1.108528","0.743736","0.004961","0.004100"
"61100","5.123391","1.116260","0.748370","0.004909","0.004059"
"61600","5.263010","1.148449","0.776217","0.004968","0.004332"
"62100","5.332500","1.157429","0.771488","0.004893","0.004287"
"62600","5.462106","1.181188","0.789991","0.005191","0.004578"
"63100","5.508768","1.186758","0.792385","0.005138","0.004343"
"63600","5.580408","1.204872","0.809093","0.004938","0.004223"
"64100","5.735469","1.265814","0.841831","0.005154","0.004475"
"64600","6.295116","1.314585","0.873084","0.005429","0.004519"
"65100","6.230545","1.342593","0.862558","0.005615","0.004619"
"65600","6.212179","1.384863","0.890889","0.005470","0.004429"
"66100","6.205090","1.323372","0.901045","0.005588","0.004651"
"66600","6.184402","1.363123","0.895163","0.005452","0.004656"
"67100","6.544146","1.453003","0.929341","0.005528","0.004691"
"67600","6.699318","1.410883","0.933285","0.005756","0.004591"
"68100","8.539256","1.544467","1.027695","0.005975","0.005156"
"68600","6.229480","1.433832","0.971404","0.005536","0.005069"
"69100","6.925601","1.507459","1.009664","0.005897","0.004988"
"69600","7.082641","1.520568","1.000416","0.005755","0.005025"
"70100","6.943831","1.519760","0.984940","0.005721","0.004885"
"70600","7.135881","1.920717","1.773025","0.005864","0.004893"
"71100","7.288358","1.567880","1.029201","0.005678","0.005103"
"71600","7.268830","1.512735","1.018519","0.005597","0.004750"
"72100","7.420355","1.604819","1.079628","0.005722","0.005134"
"72600","7.588580","1.644002","1.073112","0.005812","0.005106"
"73100","7.592076","1.611845","1.076393","0.005832","0.005202"
"73600","7.793150","1.679532","1.116191","0.005869","0.005020"
"74100","7.977493","1.703544","1.133354","0.006929","0.005267"
"74600","8.035056","1.692650","1.115484","0.005976","0.004944"
"75100","8.123034","1.734208","1.157760","0.006321","0.005210"
"75600","8.361386","1.806260","1.184368","0.006160","0.005213"
"76100","8.347237","1.752127","1.153714","0.007389","0.005084"
"76600","8.483181","1.808503","1.204223","0.006272","0.005416"
"77100","8.623096","1.845302","1.213143","0.006665","0.005432"
"77600","8.602854","1.837834","1.227466","0.006512","0.005536"
"78100","8.909300","1.896082","1.270765","0.006502","0.005574"
"78600","9.047292","1.919417","1.235991","0.006479","0.005553"
"79100","9.007720","1.977502","1.334388","0.007263","0.005649"
"79600","9.441229","1.987544","1.329978","0.006526","0.005573"
"80100","9.334661","1.960092","1.291095","0.006996","0.005586"
"80600","9.617141","2.019130","1.355048","0.006704","0.005714"
"81100","9.735015","2.049560","1.354081","0.006401","0.006291"
"81600","9.642108","2.037089","1.371300","0.006757","0.005738"
"82100","9.836550","2.082879","1.380139","0.006778","0.005832"
"82600","9.901899","2.091422","1.398977","0.006718","0.005718"
"83100","9.994562","2.131586","1.423906","0.006933","0.005829"
"83600","10.269517","2.159474","1.479184","0.007076","0.006001"
"84100","10.211920","2.197954","1.478263","0.007226","0.006012"
"84600","10.478502","2.202350","1.487650","0.007130","0.006205"
"85100","10.471220","2.243966","1.479735","0.007112","0.006018"
"85600","10.838095","2.268332","1.511205","0.007360","0.006119"
"86100","10.788481","2.269210","1.497667","0.006979","0.006115"
"86600","11.144319","2.334980","1.552980","0.007194","0.006177"
"87100","11.180346","2.336744","1.590129","0.007093","0.006178"
"87600","11.309191","2.386467","1.609783","0.007291","0.006815"
"88100","11.407769","2.373339","1.595734","0.008640","0.006129"
"88600","11.634623","2.460515","1.660533","0.007610","0.006535"
"89100","11.790706","2.425139","1.665268","0.007319","0.006290"
"89600","11.945050","2.508471","1.653290","0.007420","0.006558"
"90100","12.121404","2.485439","1.673924","0.007410","0.006677"
"90600","12.176448","2.557547","1.691841","0.007448","0.006503"
